open,high,low,close,volume,eob
1.240979,1.240979,1.218333,1.222862,4039725180,2010-07-15 00:00:00+08:00
1.222862,1.222862,1.213804,1.218333,1378955117,2010-07-16 00:00:00+08:00
1.213804,1.227391,1.213804,1.227391,1146738329,2010-07-19 00:00:00+08:00
1.222862,1.227391,1.218333,1.227391,844226057,2010-07-20 00:00:00+08:00
1.222862,1.227391,1.218333,1.227391,622094317,2010-07-21 00:00:00+08:00
1.222862,1.245508,1.218333,1.236449,1065122571,2010-07-22 00:00:00+08:00
1.236449,1.28627,1.236449,1.272682,1792782946,2010-07-23 00:00:00+08:00
1.281741,1.28627,1.254566,1.268153,704693876,2010-07-26 00:00:00+08:00
1.263624,1.268153,1.254566,1.259095,384483985,2010-07-27 00:00:00+08:00
1.259095,1.290799,1.259095,1.28627,796917138,2010-07-28 00:00:00+08:00
1.28627,1.304386,1.272682,1.281741,894588395,2010-07-29 00:00:00+08:00
1.277211,1.277211,1.254566,1.263624,510624557,2010-07-30 00:00:00+08:00
1.259095,1.272682,1.254566,1.268153,521574632,2010-08-02 00:00:00+08:00
1.268153,1.272682,1.236449,1.236449,566704200,2010-08-03 00:00:00+08:00
1.236449,1.245508,1.222862,1.236449,413863463,2010-08-04 00:00:00+08:00
1.236449,1.236449,1.227391,1.23192,335500220,2010-08-05 00:00:00+08:00
1.23192,1.236449,1.222862,1.23192,328014909,2010-08-06 00:00:00+08:00
1.23192,1.236449,1.222862,1.23192,459887584,2010-08-09 00:00:00+08:00
1.227391,1.23192,1.213804,1.218333,506683548,2010-08-10 00:00:00+08:00
1.218333,1.222862,1.213804,1.218333,468119363,2010-08-11 00:00:00+08:00
1.213804,1.218333,1.213804,1.213804,511566731,2010-08-12 00:00:00+08:00
1.213804,1.218333,1.213804,1.218333,661554125,2010-08-13 00:00:00+08:00
1.213804,1.23192,1.213804,1.227391,386549165,2010-08-16 00:00:00+08:00
1.222862,1.222862,1.213804,1.218333,332728091,2010-08-17 00:00:00+08:00
1.218333,1.227391,1.213804,1.218333,395987072,2010-08-18 00:00:00+08:00
1.218333,1.222862,1.213804,1.218333,414253726,2010-08-19 00:00:00+08:00
1.213804,1.218333,1.213804,1.213804,429512133,2010-08-20 00:00:00+08:00
1.213804,1.218333,1.213804,1.213804,146681517,2010-08-23 00:00:00+08:00
1.213804,1.222862,1.213804,1.218333,256305249,2010-08-24 00:00:00+08:00
