date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp,long_candidate_count
2020-12-04,neutral,-0.7067091668697955,0.6,0.3,0.95,,109
2020-12-07,neutral,-0.7208392677129268,0.6,0.3,0.95,,109
2020-12-08,neutral,-0.7311060353682416,0.6,0.3,0.95,,109
2020-12-09,neutral,-0.8412732985824599,0.6,0.3,0.95,,109
2020-12-10,neutral,-0.8048984524552117,0.6,0.3,0.95,,109
2020-12-11,neutral,-0.945842341945419,0.6,0.3,0.95,,109
2020-12-14,neutral,-0.9221273144232689,0.6,0.3,0.95,,109
2020-12-15,neutral,-0.930653107808998,0.6,0.3,0.95,,109
2020-12-16,neutral,-0.9402893317159067,0.6,0.3,0.95,,109
2020-12-17,neutral,-0.95824814422486,0.6,0.3,0.95,,109
2020-12-18,neutral,-0.9470131479452409,0.6,0.3,0.95,,109
2020-12-21,neutral,-0.9586397992789811,0.6,0.3,0.95,,109
2020-12-22,neutral,-1.0581687125596582,0.6,0.3,0.95,,109
2020-12-23,neutral,-1.0204116366217078,0.6,0.3,0.95,,109
2020-12-24,neutral,-1.0556727401559665,0.6,0.3,0.95,,109
2020-12-25,neutral,-1.06254444755186,0.6,0.3,0.95,,109
2020-12-28,neutral,-1.164512350743601,0.6,0.3,0.95,,109
2020-12-29,neutral,-1.1688055429687823,0.6,0.3,0.95,,109
2020-12-30,neutral,-1.1662253546000962,0.6,0.3,0.95,,110
2020-12-31,neutral,-1.1348586146000876,0.6,0.3,0.95,,110
2021-01-04,neutral,-1.071562059146504,0.6,0.3,0.95,,110
2021-01-05,neutral,-1.1441429729945758,0.6,0.3,0.95,,110
2021-01-06,bull,-1.284216410659077,0.5499999999999999,0.32,1.0,,123
2021-01-07,bull,-1.2771425033916985,0.5499999999999999,0.32,1.0,,123
2021-01-08,bull,-1.2397044212383186,0.5499999999999999,0.32,1.0,,123
2021-01-11,bull,-1.242874865939886,0.5499999999999999,0.32,1.0,,124
2021-01-12,bull,-1.2152956508909718,0.5499999999999999,0.32,1.0,,124
2021-01-13,bull,-1.0751868230047643,0.5499999999999999,0.32,1.0,,124
2021-01-14,bull,-1.0814870189874115,0.5499999999999999,0.32,1.0,,124
2021-01-15,bull,-0.975233179625231,0.5499999999999999,0.32,1.0,,124
2021-01-18,bull,-0.9854703640835228,0.5499999999999999,0.32,1.0,,124
2021-01-19,bull,-1.0305818069668828,0.5499999999999999,0.32,1.0,,124
2021-01-20,bull,-0.9829314464288971,0.5499999999999999,0.32,1.0,,124
2021-01-21,bull,-0.9871199610462408,0.5499999999999999,0.32,1.0,,124
2021-01-22,bull,-0.9584428633222414,0.5499999999999999,0.32,1.0,,124
2021-01-25,bull,-0.9719888253781372,0.5499999999999999,0.32,1.0,,124
