date,equity,cash,portfolio_value
2020-12-04,1000000.0,1000000.0,
2020-12-07,999524.9999999999,49525.00000000012,
2020-12-08,999690.5997394663,49911.59001129567,
2020-12-09,984795.6988929064,49191.98143460295,
2020-12-10,991384.1451940676,49478.78344906855,
2020-12-11,983329.2339291996,49101.680578070285,
2020-12-14,999692.893304334,49933.291183072986,
2020-12-15,1005890.0569168371,50219.95452866613,
2020-12-16,1003758.0588573072,50130.920432828265,
2020-12-17,1014300.8429050987,50654.85619066459,
2020-12-18,1020352.049394828,50957.7800691004,
2020-12-21,1044671.2962584045,52144.22792834359,
2020-12-22,1018400.2544014943,50841.97199546757,
2020-12-23,1041069.6715463192,51974.13954466501,
2020-12-24,1038782.9343253935,51861.679013927744,
2020-12-25,1059747.4600758934,52923.88226204811,
2020-12-28,1063694.7285433388,53102.866692324504,
2020-12-29,1039918.3119869416,51932.08004362005,
2020-12-30,1059790.667947729,52932.8587580877,
2020-12-31,1082711.7784897801,54080.69468096069,
2021-01-04,1116448.2276261703,55751.3263503606,
2021-01-05,1136031.0926084002,56732.27742185362,
2021-01-06,1142471.7933631712,-2.9103830456733704e-11,
2021-01-07,1176893.882440818,-1.4551915228366852e-11,
2021-01-08,1171400.500441875,0.0,
2021-01-11,1156172.1697396962,1.4551915228366852e-11,
2021-01-12,1189304.7070612186,1.4551915228366852e-11,
2021-01-13,1182838.2087052176,-1.4551915228366852e-11,
2021-01-14,1152659.8213320952,0.0,
2021-01-15,1147802.7593453687,-2.9103830456733704e-11,
2021-01-18,1173373.442950821,0.0,
2021-01-19,1149370.4145241342,0.0,
2021-01-20,1176394.2552832994,1.4551915228366852e-11,
2021-01-21,1200549.6940898986,0.0,
2021-01-22,1212552.9044620157,0.0,
2021-01-25,1225886.8870469218,-2.9103830456733704e-11,
2021-01-26,1196390.8154074696,-2.9103830456733704e-11,
2021-01-27,1203605.90766024,2.9103830456733704e-11,
2021-01-28,1156960.0611324138,-1.4551915228366852e-11,
2021-01-29,1150659.9805537988,2.9103830456733704e-11,
2021-02-01,1165669.0445051503,0.0,
2021-02-02,1194970.0378664725,-2.9103830456733704e-11,
2021-02-03,1195260.476288145,0.0,
2021-02-04,1187912.571590514,-7.275957614183426e-12,
2021-02-05,1173745.8536750462,0.0,
2021-02-08,1205239.1627259073,0.0,
2021-02-09,1243037.483741335,-1.4551915228366852e-11,
2021-02-10,1259822.3491900028,1.4551915228366852e-11,
2021-02-18,1256794.127514909,0.0,
2021-02-19,1238487.0711938532,2.9103830456733704e-11,
2021-02-22,1204520.9153313,-1.4551915228366852e-11,
2021-02-23,1200349.2074356566,0.0,
2021-02-24,1155395.4748819498,1.4551915228366852e-11,
2021-02-25,1157745.104264866,-2.9103830456733704e-11,
2021-02-26,1123221.1843064227,7.275957614183426e-12,
2021-03-01,1154242.8009522655,-1.4551915228366852e-11,
2021-03-02,1138532.1199190826,0.0,
2021-03-03,1156248.2189538437,0.0,
2021-03-04,1111885.9861839053,-1.4551915228366852e-11,
2021-03-05,1100611.0536147694,14098.325689796693,
2021-03-08,1057634.6507757707,14332.691691873595,
2021-03-09,1029794.4814541368,81139.73617401317,
2021-03-10,1034404.2112462025,100089.24748993211,
2021-03-11,1065981.787716442,104729.04291496247,
2021-03-12,1078429.0386712593,125161.75986216572,
2021-03-15,1057932.4742788712,123081.59841867161,
2021-03-16,1063120.2620946297,140385.62458664828,
2021-03-17,1067894.4670505964,140759.61267212563,
2021-03-18,1080727.508524188,143083.94118174785,
2021-03-19,1058571.496887779,142600.387617908,
2021-03-22,1072247.276296044,167818.0977918522,
2021-03-23,1050915.8245272872,168152.5335755455,
2021-03-24,1025935.6801118846,164938.92603305756,
2021-03-25,1026552.8314765135,208384.04267547082,
2021-03-26,1048505.383995059,210715.91071094974,
2021-03-29,1052796.8372397723,230787.84991646977,
2021-03-30,1061128.3448760174,231334.81517664745,
2021-03-31,1055005.5610613741,233361.5810142742,
2021-04-01,1067295.695193635,239499.39836850628,
2021-04-02,1071106.7477238835,239821.74729027782,
2021-04-06,1073947.201837336,231873.70796396947,
2021-04-07,1071947.471808917,650402.8211661014,
2021-04-08,1074333.2227361393,646190.5007819382,
2021-04-09,1069109.5342540932,642201.248491399,
2021-04-12,1058753.965669233,633756.1198950286,
2021-04-13,1056306.481287849,638245.4311013652,
2021-04-14,1060321.3286969326,640333.0504476754,
2021-04-15,1060391.9058282278,624407.1411232161,
2021-04-16,1061899.2316910562,626772.3747340294,
2021-04-19,1072241.627538292,627561.5437646487,
2021-04-20,1072948.5099893229,643750.4834618128,
2021-04-21,1074121.4976552879,642443.2670350628,
2021-04-22,1075266.004330047,640660.3291430015,
2021-04-23,1078248.7966951437,642208.4412588222,
2021-04-26,1077362.8223780897,638423.3940284767,
2021-04-27,1079327.657704667,643119.2041595863,
2021-04-28,1085499.0533573818,645408.4971093392,
2021-04-29,1087780.9694836996,640734.8428496291,
2021-04-30,1087452.3720794604,644065.7530749977,
2021-05-06,1085147.9188312772,627100.8314153275,
2021-05-07,1080472.113741368,629096.7271777065,
2021-05-10,1086651.574720686,633266.1906266158,
2021-05-11,1083366.1717273206,625013.7097024103,
2021-05-12,1087809.3214413987,630831.4707894499,
2021-05-13,1079900.9277756023,628806.7448883743,
2021-05-14,1085508.0258531068,635631.0021020493,
2021-05-17,1093290.4303189656,650784.9406069103,
2021-05-18,1095096.633678713,644181.0308874915,
2021-05-19,1095010.7997085564,628825.7481266272,
2021-05-20,1091130.611677085,626242.2865241913,
2021-05-21,1091040.1751873551,626819.8329389358,
2021-05-24,1091172.3556652348,599560.9343250017,
2021-05-25,1102992.3546866653,607571.0078933286,
2021-05-26,1100454.9935866818,621986.6234389903,
2021-05-27,1104220.4245554432,623277.2227554269,
2021-05-28,1104500.5481994827,603321.1442515679,
2021-05-31,1111324.6397140492,598589.7503252369,
2021-06-01,1112635.8013878432,593448.1953316758,
2021-06-02,1104337.3390720764,579748.2827462752,
2021-06-03,1099872.066678951,577412.5503540384,
2021-06-04,1104093.5470886528,579620.9637145519,
2021-06-07,1107106.0313344593,581199.8416871197,
2021-06-08,1100514.073230879,577754.344963295,
2021-06-09,1106793.2791846371,581046.0392824304,
2021-06-10,1115702.8538244413,585728.2519694917,
2021-06-11,1115270.9744486716,585492.7659137812,
2021-06-15,1111389.6404517079,55307.59206746891,
2021-06-16,1079273.4332617586,53915.14020226455,
2021-06-17,1103063.2335815637,55069.42776406011,
2021-06-18,1116448.6652910379,55726.46302904343,
2021-06-21,1127130.6590526525,56269.74494623831,
2021-06-22,1132148.3868658033,56541.76797890458,
2021-06-23,1150130.2153683824,57408.236492239084,
