date,action,code,shares,price
2024-12-05,BUY,600039,413.56852077243167,7.265779
2024-12-05,BUY,600030,98.88135127175951,30.38892
2024-12-05,BUY,600010,1525.3286666443646,1.97
2024-12-05,BUY,301236,49.62997523684295,60.54602
2024-12-05,BUY,300999,87.15792171557581,34.47647
2024-12-05,BUY,300896,14.990346851492715,200.4555
2024-12-05,BUY,300782,30.43614686999785,98.72792
2024-12-05,BUY,300759,110.80973791918387,27.11763
2024-12-05,BUY,300750,12.073752747985052,248.8785
2024-12-05,BUY,301269,23.450899891984808,128.1357
2024-12-05,BUY,300316,87.85695035896558,34.20216
2024-12-05,BUY,300628,84.02228758942591,35.7631
2024-12-05,BUY,300502,34.885063126001,86.13708
2024-12-05,BUY,300442,89.3358352171618,33.63597
2024-12-05,BUY,300433,145.19001084200025,20.69631
2024-12-05,BUY,300418,62.99575415701044,47.7
2024-12-05,BUY,300413,106.56911884331848,28.1967
2024-12-05,BUY,300394,39.2706347865715,76.51767
2024-12-05,BUY,300347,47.82297722258541,62.83376
2024-12-05,BUY,300308,22.906988152676266,131.1782
2024-12-05,BUY,300124,48.78073978620479,61.60008
2024-12-05,BUY,300122,104.2944568395167,28.81167
2024-12-05,BUY,300661,43.153613915919784,69.63258
2024-12-05,BUY,300059,109.67047271920146,27.39933
2024-12-06,BUY,601238,7.003312218797021,9.654187
2024-12-06,BUY,601236,0.3396763899401094,8.527993
2024-12-06,BUY,601689,0.5832762889480776,53.78087
2024-12-06,SELL,601318,0.9447165356927556,52.70542
2024-12-06,BUY,601211,0.21655362069995476,18.86609
2024-12-06,BUY,601229,3.8199541079640085,8.067276
2024-12-06,SELL,601336,3.4248245877009893,49.67732
2024-12-06,SELL,601688,2.8422675317876553,18.31438
2024-12-06,BUY,601377,2.645381364065372,6.414597
2024-12-06,BUY,601390,471.22407750063763,6.442188
2024-12-06,SELL,601628,1.9685656978155208,43.02678
2024-12-06,SELL,601633,113.80583771110275,26.51149
2024-12-06,BUY,601186,1.2827013974523993,9.228823
2024-12-06,SELL,601360,0.7475741100813877,13.21914
2024-12-06,BUY,601136,1.1642686664157793,24.36188
2024-12-06,BUY,600515,3.9299630593066013,3.97
2024-12-06,SELL,601117,1.162442674225474,8.124114
2024-12-06,SELL,601066,0.15260729035973952,27.52626
2024-12-06,BUY,601012,2.570944570552001,17.85
2024-12-06,BUY,600999,0.003198280482052951,19.18698
2024-12-06,SELL,600958,3.106825409708563,10.71633
2024-12-06,BUY,600918,0.12067625147432182,7.067528
2024-12-06,SELL,600887,0.3870475859236677,28.05877
2024-12-06,BUY,600760,63.1584771170574,48.06503
2024-12-06,SELL,600600,0.6962669955134686,71.57022
2024-12-06,BUY,600588,1.481179383827481,12.93
2024-12-06,BUY,600584,0.2972312082796833,39.38381
2024-12-06,BUY,600570,0.7129374409118299,30.99638
2024-12-06,BUY,600460,0.5999294401022155,28.24426
2024-12-06,BUY,601698,3.236535821620805,22.25645
2024-12-06,BUY,601127,0.47491328415704004,136.76
2024-12-06,SELL,601788,0.682099817667762,20.27909
2024-12-06,BUY,688599,1.1702689441467697,24.21
2024-12-06,BUY,601878,1.3163584032791675,12.76847
2024-12-06,BUY,600438,6.117191903784388,26.01
2024-12-06,SELL,688981,0.4030557195407738,88.93
2024-12-06,BUY,688506,0.13717152618437112,222.69
2024-12-06,BUY,688472,5.463121931808843,14.50622
2024-12-06,SELL,688396,0.2994184920744729,49.90738
2024-12-06,BUY,688303,3.379979697625359,26.53
2024-12-06,BUY,688271,0.15723285455226588,139.9051
2024-12-06,BUY,688256,0.21294725901341405,553.6
2024-12-06,BUY,688223,1.1644495530865697,8.85
2024-12-06,SELL,688126,3.7205365184842947,22.08
2024-12-06,BUY,688111,0.16861032963762845,299.0224
2024-12-06,SELL,688082,0.1874963612833156,112.0641
2024-12-06,BUY,688047,0.5384080565706881,155.78
2024-12-06,SELL,688041,0.08636038621833109,129.6547
2024-12-06,BUY,601800,0.8225154882077845,10.6038
2024-12-06,SELL,688036,1.114596835102823,91.93371
2024-12-06,BUY,688009,3.431983016316053,6.255929
2024-12-06,SELL,688008,0.744243930059092,69.7284
2024-12-06,SELL,603986,0.011313424398458949,85.73837
2024-12-06,SELL,603833,0.2378675738363185,70.21537
2024-12-06,SELL,603799,1.2710808083797502,32.14808
2024-12-06,BUY,603369,0.7767666323328655,46.18007
2024-12-06,SELL,603296,0.03907946050994582,63.09103
2024-12-06,BUY,603288,0.19185421859376106,45.31247
2024-12-06,SELL,603259,3.5617235929121733,53.87175
2024-12-06,SELL,603019,0.13476002104403761,76.65719
2024-12-06,BUY,601998,447.4203694168039,6.784926
2024-12-06,BUY,601901,1.2005980384521422,8.870006
2024-12-06,BUY,601888,0.035257456920227526,69.34164
