date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp,long_candidate_count
2025-03-19,bull,-0.5074442029937459,0.95,0.3,0.95,0.950688714406931,15
2025-03-20,bull,-0.5115697207192649,0.95,0.3,0.95,0.9500642807919426,15
2025-03-21,bull,-0.49742149480633074,0.95,0.3,0.95,0.9500651444585182,15
2025-03-24,bull,-0.46275274782343584,0.95,0.3,0.95,0.9501247131208388,15
2025-03-25,bull,-0.4576809401981583,0.95,0.3,0.95,0.9501834902417169,15
2025-03-26,neutral,-0.45988840454636765,0.57,0.32,0.65,0.6504709061816764,128
2025-03-27,neutral,-0.45744851460135405,0.57,0.32,0.65,0.6500518807441348,128
2025-03-28,neutral,-0.48074983612295763,0.57,0.32,0.65,0.6500412239076385,128
2025-03-31,neutral,-0.4768618505327581,0.57,0.32,0.65,0.6500453319808258,128
2025-04-01,neutral,-0.46841575950460496,0.57,0.32,0.65,0.65005574203115,128
2025-04-02,neutral,-0.46768767102579967,0.57,0.32,0.65,0.6500385132147871,128
2025-04-03,neutral,-0.47055662970669687,0.57,0.32,0.65,0.6500355211811598,129
2025-04-07,neutral,-0.5042250798352486,0.57,0.32,0.65,0.6500531021225967,129
2025-04-08,bull,0.060568157899829965,0.95,0.3,0.9330461343225577,0.9337148307338533,15
2025-04-09,neutral,0.08253781812575701,0.57,0.32,0.6342940265007286,0.6347450446515222,129
2025-04-10,neutral,0.0935267697630935,0.57,0.32,0.632260028563442,0.6323220188974347,129
2025-04-11,neutral,0.10664586696868875,0.57,0.32,0.6298487695729202,0.6298829003895844,129
2025-04-14,neutral,0.10699484206690035,0.57,0.32,0.6297848798725737,0.629814872713577,129
2025-04-15,neutral,0.10557027295835629,0.57,0.32,0.63004576886151,0.6300784799115984,129
2025-04-16,neutral,0.08526662119367055,0.57,0.32,0.6337877187991847,0.6338150126293478,129
2025-04-17,neutral,0.08386433393119011,0.57,0.32,0.6340478010454367,0.6340837795892755,129
2025-04-18,neutral,-0.0012023583343547515,0.57,0.32,0.65,0.6500248690791757,129
2025-04-21,neutral,-0.007320151863476262,0.57,0.32,0.65,0.6500227475905609,129
2025-04-22,neutral,-0.007383028863898231,0.57,0.32,0.65,0.650094022606176,129
2025-04-23,neutral,-0.009816660639797874,0.57,0.32,0.65,0.6500521511374647,129
2025-04-24,neutral,-0.013633682209345889,0.57,0.32,0.65,0.6500450742284289,129
2025-04-25,neutral,-0.014909670765068241,0.57,0.32,0.65,0.6500514510946452,129
2025-04-28,neutral,-0.026788157730304695,0.57,0.32,0.65,0.6500282297342865,129
2025-04-29,neutral,-0.028166136293243407,0.57,0.32,0.65,0.6500449018204574,129
2025-04-30,neutral,-0.036399299774147575,0.57,0.32,0.65,0.650049063997262,129
2025-05-06,neutral,-0.03916445280489871,0.57,0.32,0.65,0.6500681307759436,129
2025-05-07,neutral,-0.03144032771817088,0.57,0.32,0.65,0.6500412432475154,129
2025-05-08,neutral,-0.047427390480169834,0.57,0.32,0.65,0.6500582463595993,129
2025-05-09,bear,-0.06567433350488242,0.0,-0.2,0.25,0.25008541425145325,298
2025-05-12,bear,-0.06699862895514343,0.0,-0.2,0.25,0.2500004768829689,298
2025-05-13,bear,-0.05367441667260145,0.0,-0.2,0.25,0.250000319994867,298
2025-05-14,bear,-0.06575922542914461,0.0,-0.2,0.25,0.2500003839006737,298
2025-05-15,bear,-0.0508190055313067,0.0,-0.2,0.25,0.25000039897740606,298
2025-05-16,bear,-0.050595524094736395,0.0,-0.2,0.25,0.25000036088073246,299
2025-05-19,bear,-0.04989631708782534,0.0,-0.2,0.25,0.25000024906060186,299
2025-05-20,bear,-0.0596390325110564,0.0,-0.2,0.25,0.2500002477745193,299
2025-05-21,bear,-0.06343934611495072,0.0,-0.2,0.25,0.2500002712577643,299
2025-05-22,bear,-0.06297610444538053,0.0,-0.2,0.25,0.25000030627004555,299
2025-05-23,bear,-0.08499815419450224,0.0,-0.2,0.25,0.2500003313019548,299
2025-05-26,bear,-0.07919018753637962,0.0,-0.2,0.25,0.25000030337204415,299
2025-05-27,bear,-0.09195756836184717,0.0,-0.2,0.25,0.25000030435032367,299
