date,equity,cash,portfolio_value
2024-12-04,1000000.0,1000000.0,
2024-12-05,999807.6865617094,615180.8099806665,
2024-12-06,1004608.6847122086,616037.2802468418,
2024-12-09,1002002.0725126476,612155.6542309916,
2024-12-10,1004137.3514580285,611363.2353590643,
2024-12-11,1004077.4636077851,608525.6661176165,
2024-12-12,1006581.00609387,606817.8260699963,
2024-12-13,996626.7288420442,598911.9711778393,
2024-12-16,990609.0589952603,596865.8638761118,
2024-12-17,989177.3117007946,594088.7443785255,
2024-12-18,991251.8829531798,593055.4080383881,
2024-12-19,993715.707167498,592600.9192374008,
2024-12-20,994617.926525409,591192.7264553709,
2024-12-23,989649.454450652,586696.2936022796,
2024-12-24,994600.9992791091,587812.1815552535,
2024-12-25,992861.8299198995,577187.1335321227,
2024-12-26,996495.127739338,576925.2706678727,
2024-12-27,994263.1299992118,565177.2085289632,
2024-12-30,995012.099297281,552967.6617213791,
2024-12-31,983070.0311718634,490432.6369061048,
2025-01-02,965228.4392151245,445228.33659967314,
2025-01-03,954980.4410191685,381522.2305225455,
2025-01-06,954039.3211453746,380514.78468014626,
2025-01-07,961799.3359801609,369600.7800030033,
2025-01-08,962587.1607307977,362934.3891622941,
2025-01-09,963116.5128975215,348270.34609121236,
2025-01-10,955623.2440949404,344239.2655242724,
2025-01-13,951986.5858479398,342970.67030509753,
2025-01-14,972203.6445038061,340212.721593561,
2025-01-15,968327.222824966,338851.10560203483,
2025-01-16,970741.121593732,339711.8546363221,
2025-01-17,973908.9040362828,340827.04362211766,
2025-01-20,975703.9583310848,341458.0669055694,
2025-01-21,978338.8044165075,342383.3122599823,
2025-01-22,974252.6929625046,340956.74176445766,
2025-01-23,974087.1344885853,340879.0975675399,
2025-01-24,981803.879017833,343589.59136074956,
2025-01-27,975414.3896772776,341348.83007899893,
2025-02-05,975910.476420149,341523.4704081163,
2025-02-06,985818.2247357576,344980.2823377391,
2025-02-07,992024.2980470124,743933.0193948513,
2025-02-10,992620.8653231476,744465.3165841803,
2025-02-11,991356.7102388893,743517.1224284737,
2025-02-12,993377.7578175133,745032.9246833446,
2025-02-13,991818.6561257124,743863.5707970315,
2025-02-14,993646.0242837414,745234.1631214281,248411.8611623133
2025-02-17,994359.6192289905,745769.2581898086,248590.36103918197
2025-02-18,991281.201212252,743460.3901872061,247820.811025046
2025-02-19,993188.9670182497,744891.3190109052,248297.64800734443
2025-02-20,992876.8121627853,744657.2435857027,248219.5685770826
2025-02-21,995437.6173516237,746577.6284096754,248859.98894194825
2025-02-24,995660.7404071027,746745.1150374148,248915.62536968794
2025-02-25,993245.1754054946,744933.4805437272,248311.6948617675
2025-02-26,995773.5320078665,746829.7532393765,248943.77876849007
2025-02-27,995858.3833883397,746893.300519405,248965.0828689346
2025-02-28,990892.06944973,743168.4380991257,247723.63135060424
2025-03-03,991131.8626406142,743348.4879573605,247783.3746832537
2025-03-04,991788.8456470799,743841.292626038,247947.55302104197
2025-03-05,992388.7227485827,744291.1845389798,248097.538209603
2025-03-06,995354.4762993299,746515.3855807526,248839.09071857727
2025-03-07,994216.4780468083,347754.55757916777,646461.9204676405
2025-03-10,991298.7560749811,346899.68684612523,644399.0692288558
2025-03-11,992961.1443322569,347484.51183704997,645476.6324952069
2025-03-12,989636.1323482248,346331.16977698385,643304.962571241
2025-03-13,984337.3766032122,344485.77454058104,639851.6020626312
2025-03-14,995734.6507509343,348471.16621123883,647263.4845396954
2025-03-17,994355.8941200983,347966.5167336149,646389.3773864834
2025-03-18,997467.2368698309,349068.62631415785,648398.610555673
2025-03-19,992507.2451608686,48941.808219317696,943565.4369415509
2025-03-20,982462.0287589116,49059.94800068351,933402.0807582282
2025-03-21,953129.5623827865,47594.38700990015,905535.1753728864
2025-03-24,959508.7495901028,47855.77414887163,911652.9754412312
2025-03-25,929938.5745643752,46326.294074390025,883612.2804899851
2025-03-26,930262.5390562762,325153.82228947314,605108.7167668031
2025-03-27,930912.9507422997,325771.2363031957,605141.714439104
2025-03-28,928577.0768300036,324963.69731485075,603613.3795151529
2025-03-31,925083.7722326086,323737.3844015879,601346.3878310208
2025-04-01,926816.2263819352,324334.01661471603,602482.2097672191
2025-04-02,926786.1530841968,324339.4600652934,602446.6930189034
2025-04-03,919712.1386904232,321866.5792801547,597845.5594102684
2025-04-07,875002.6935011438,306204.47822509764,568798.2152760462
2025-04-08,878414.7628946688,58225.87124435522,820188.8916503136
2025-04-09,885829.9189569001,323553.76749494835,562276.1514619518
