date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp,long_candidate_count
2024-12-04,neutral,2.359727677648149,0.6,0.3,0.5562326946010955,,119
2024-12-05,neutral,2.2998316860387296,0.6,0.3,0.5621469734646012,,119
2024-12-06,neutral,2.268444209087239,0.6,0.3,0.5652967549472385,,119
2024-12-09,neutral,2.235639741077744,0.6,0.3,0.5686266793454633,,119
2024-12-10,neutral,2.20590622572285,0.6,0.3,0.5716789521206819,,119
2024-12-11,neutral,2.1666996425168072,0.6,0.3,0.5757541237609024,,119
2024-12-12,neutral,2.122323713046932,0.6,0.3,0.5804372671789726,,119
2024-12-13,neutral,2.0961909845913707,0.6,0.3,0.5832309574915108,,119
2024-12-16,neutral,2.1178632294404385,0.6,0.3,0.5809122144469779,,119
2024-12-17,neutral,2.091481012755937,0.6,0.3,0.5837373345227023,,119
2024-12-18,neutral,2.0603955397218847,0.6,0.3,0.5871015657620445,,119
2024-12-19,neutral,2.0344543659968495,0.6,0.3,0.5899388806047261,,119
2024-12-20,neutral,2.008602897802548,0.6,0.3,0.5927937979134811,,119
2024-12-23,neutral,1.9881023731510068,0.6,0.3,0.5950775018869403,,119
2024-12-24,neutral,1.9643407280812575,0.6,0.3,0.5977466016135201,,119
2024-12-25,neutral,1.8420322093327608,0.6,0.3,0.6118730436643428,,119
2024-12-26,neutral,1.8127400135821277,0.6,0.3,0.6153559137599071,,119
2024-12-27,neutral,1.6873388363417898,0.6,0.3,0.630725639844271,,119
2024-12-30,neutral,1.5439328683104665,0.6,0.3,0.6492708283175922,,119
2024-12-31,neutral,0.9906779946647668,0.6,0.3,0.7323446740674353,,119
2025-01-02,neutral,0.688946493393199,0.6,0.3,0.7872815425782566,,119
2025-01-03,neutral,0.27511955383340175,0.6,0.3,0.8775690761901708,,119
2025-01-06,neutral,0.27112757074494165,0.6,0.3,0.8785409943228222,,119
2025-01-07,neutral,0.18576078929224796,0.6,0.3,0.8998527906107922,,119
2025-01-08,neutral,0.14497644490828834,0.6,0.3,0.9104038652553542,,119
2025-01-09,neutral,0.060806586241025966,0.6,0.3,0.9329805905773564,,119
2025-01-10,neutral,0.053543993583765846,0.6,0.3,0.9349812116015199,,119
2025-01-13,neutral,0.05370481634406173,0.6,0.3,0.9349368169851532,,119
2025-01-14,neutral,-0.11881417369355952,0.6,0.3,0.95,,119
2025-01-15,neutral,-0.02882896042954425,0.6,0.3,0.95,,119
2025-01-16,neutral,-0.03202827649965158,0.6,0.3,0.95,,119
2025-01-17,neutral,-0.03675985747252201,0.6,0.3,0.95,,119
2025-01-20,neutral,-0.05186293636512946,0.6,0.3,0.95,,119
2025-01-21,neutral,-0.058284276477298454,0.6,0.3,0.95,,119
2025-01-22,neutral,-0.061405042924654776,0.6,0.3,0.95,,119
2025-01-23,neutral,-0.06551674152156643,0.6,0.3,0.95,,119
2025-01-24,neutral,-0.07692015118289905,0.6,0.3,0.95,,119
2025-01-27,neutral,-0.07151546338450163,0.6,0.3,0.95,,119
2025-02-05,neutral,-0.0721461012596489,0.6,0.3,0.95,,119
2025-02-06,neutral,-0.09847475052420923,0.6,0.3,0.95,,119
2025-02-07,bear,-0.16739249007046744,0.65,0.35,0.475,,104
2025-02-10,bear,-0.14785464631308132,0.65,0.35,0.475,,104
2025-02-11,bear,-0.2807065180916323,0.65,0.35,0.475,,104
2025-02-12,bear,-0.29257226581749135,0.65,0.35,0.475,,104
2025-02-13,bear,-0.2871480146042928,0.65,0.35,0.475,,104
2025-02-14,bear,-0.3027955565923749,0.65,0.35,0.475,0.47501254833462564,104
2025-02-17,bear,-0.2988036737674633,0.65,0.35,0.475,0.47502797904485744,104
2025-02-18,bear,-0.34080180937930205,0.65,0.35,0.475,0.47502829436843647,104
2025-02-19,bear,-0.3755134364510733,0.65,0.35,0.475,0.4750278286448937,104
2025-02-20,bear,-0.3721341885015481,0.65,0.35,0.475,0.47502764864874636,104
