date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp
1991-01-29,neutral,0.0,0.6,0.3,0.9,
1991-01-30,neutral,0.0,0.6,0.3,0.9,
1991-02-04,neutral,0.0,0.6,0.3,0.9,
1991-02-05,neutral,0.0,0.6,0.3,0.9,
1991-02-06,neutral,0.0,0.6,0.3,0.9,
1991-02-07,neutral,0.0,0.6,0.3,0.9,
1991-02-08,neutral,0.0,0.6,0.3,0.9,
1991-02-11,neutral,0.0,0.6,0.3,0.9,
1991-02-12,neutral,0.0,0.6,0.3,0.9,
1991-02-13,neutral,0.0,0.6,0.3,0.9,
1991-02-22,neutral,0.0,0.6,0.3,0.9,
1991-02-25,neutral,0.0,0.6,0.3,0.9,
1991-02-26,neutral,0.0,0.6,0.3,0.9,
1991-02-27,neutral,0.0,0.6,0.3,0.9,
1991-02-28,neutral,0.0,0.6,0.3,0.9,
1991-03-01,neutral,0.0,0.6,0.3,0.9,
1991-03-04,neutral,0.0,0.6,0.3,0.9,
1991-03-05,neutral,0.0,0.6,0.3,0.9,
1991-03-06,neutral,0.0,0.6,0.3,0.9,
1991-03-07,neutral,0.0,0.6,0.3,0.9,
1991-03-08,neutral,0.0,0.6,0.3,0.9,
1991-03-11,neutral,0.0,0.6,0.3,0.9,
1991-03-12,neutral,0.0,0.6,0.3,0.9,
1991-03-13,neutral,0.0,0.6,0.3,0.9,
1991-03-14,neutral,0.0,0.6,0.3,0.9,
1991-03-15,neutral,0.0,0.6,0.3,0.9,
1991-03-18,neutral,0.0,0.6,0.3,0.9,
1991-03-19,neutral,0.0,0.6,0.3,0.9,
1991-03-20,neutral,0.0,0.6,0.3,0.9,
1991-03-21,neutral,0.0,0.6,0.3,0.9,
1991-03-22,neutral,0.0,0.6,0.3,0.9,
1991-03-25,neutral,0.0,0.6,0.3,0.9,
1991-03-26,neutral,0.0,0.6,0.3,0.9,
1991-03-27,neutral,0.0,0.6,0.3,0.9,
1991-03-28,neutral,0.0,0.6,0.3,0.9,
1991-03-29,neutral,0.0,0.6,0.3,0.9,
1991-04-01,neutral,0.0,0.6,0.3,0.9,
1991-04-02,neutral,0.0,0.6,0.3,0.9,
1991-04-03,neutral,0.0,0.6,0.3,0.9,
1991-04-04,neutral,0.0,0.6,0.3,0.9,
1991-04-05,neutral,0.0,0.6,0.3,0.9,
1991-04-08,neutral,0.0,0.6,0.3,0.9,
1991-04-09,neutral,0.0,0.6,0.3,0.9,
