date,equity,cash,portfolio_value
1991-01-29,1000000.0,1000000.0,
1991-01-30,1000000.0,1000000.0,
1991-02-04,1000000.0,1000000.0,
1991-02-05,1000000.0,1000000.0,
1991-02-06,1000000.0,1000000.0,
1991-02-07,1000000.0,1000000.0,
1991-02-08,1000000.0,1000000.0,
1991-02-11,1000000.0,1000000.0,
1991-02-12,1000000.0,1000000.0,
1991-02-13,1000000.0,1000000.0,
1991-02-22,1000000.0,1000000.0,
1991-02-25,1000000.0,1000000.0,
1991-02-26,1000000.0,1000000.0,
1991-02-27,1000000.0,1000000.0,
1991-02-28,1000000.0,1000000.0,
1991-03-01,1000000.0,1000000.0,
1991-03-04,1000000.0,1000000.0,
1991-03-05,1000000.0,1000000.0,
1991-03-06,1000000.0,1000000.0,
1991-03-07,1000000.0,1000000.0,
1991-03-08,1000000.0,1000000.0,
1991-03-11,1000000.0,1000000.0,
1991-03-12,1000000.0,1000000.0,
1991-03-13,1000000.0,1000000.0,
1991-03-14,1000000.0,1000000.0,
1991-03-15,1000000.0,1000000.0,
1991-03-18,1000000.0,1000000.0,
1991-03-19,1000000.0,1000000.0,
1991-03-20,1000000.0,1000000.0,
1991-03-21,1000000.0,1000000.0,
1991-03-22,1000000.0,1000000.0,
1991-03-25,1000000.0,1000000.0,
1991-03-26,1000000.0,1000000.0,
1991-03-27,1000000.0,1000000.0,
1991-03-28,1000000.0,1000000.0,
1991-03-29,1000000.0,1000000.0,
1991-04-01,1000000.0,1000000.0,
1991-04-02,1000000.0,1000000.0,
1991-04-03,1000000.0,1000000.0,
1991-04-04,1000000.0,1000000.0,
1991-04-05,1000000.0,1000000.0,
1991-04-08,1000000.0,1000000.0,
1991-04-09,1000000.0,1000000.0,
1991-04-10,1000000.0,1000000.0,
1991-04-11,1000000.0,1000000.0,
1991-04-12,1000000.0,1000000.0,
1991-04-15,1000000.0,1000000.0,
1991-04-16,1000000.0,1000000.0,
1991-04-17,1000000.0,1000000.0,
1991-04-18,1000000.0,1000000.0,
1991-04-19,1000000.0,1000000.0,
1991-04-23,1000000.0,1000000.0,
1991-04-24,1000000.0,1000000.0,
1991-04-25,1000000.0,1000000.0,
1991-04-26,1000000.0,1000000.0,
1991-04-29,1000000.0,1000000.0,
