date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp
2024-12-04,neutral,2.359727677648149,0.6,0.3,0.5269572896220905,
2024-12-05,neutral,2.2998316860387296,0.6,0.3,0.5325602906506749,
2024-12-06,neutral,2.268444209087239,0.6,0.3,0.5355442941605418,
2024-12-09,neutral,2.235639741077744,0.6,0.3,0.5386989593799126,
2024-12-10,neutral,2.20590622572285,0.6,0.3,0.5415905862195934,
2024-12-11,neutral,2.1666996425168072,0.6,0.3,0.5454512751419076,
2024-12-12,neutral,2.122323713046932,0.6,0.3,0.5498879373274478,
2024-12-13,neutral,2.0961909845913707,0.6,0.3,0.5525345913077471,
2024-12-16,neutral,2.1178632294404385,0.6,0.3,0.5503378873708213,
2024-12-17,neutral,2.091481012755937,0.6,0.3,0.5530143169162443,
2024-12-18,neutral,2.0603955397218847,0.6,0.3,0.5562014833535159,
2024-12-19,neutral,2.0344543659968495,0.6,0.3,0.5588894658360564,
2024-12-20,neutral,2.008602897802548,0.6,0.3,0.5615941243390874,
2024-12-23,neutral,1.9881023731510068,0.6,0.3,0.563757633366575,
2024-12-24,neutral,1.9643407280812575,0.6,0.3,0.5662862541601771,
2024-12-25,neutral,1.8420322093327608,0.6,0.3,0.5796691992609564,
2024-12-26,neutral,1.8127400135821277,0.6,0.3,0.5829687604041225,
2024-12-27,neutral,1.6873388363417898,0.6,0.3,0.5975295535366779,
2024-12-30,neutral,1.5439328683104665,0.6,0.3,0.6150986794587716,
2024-12-31,neutral,0.9906779946647668,0.6,0.3,0.6938002175375704,
2025-01-02,neutral,0.688946493393199,0.6,0.3,0.7458456719162431,
2025-01-03,neutral,0.27511955383340175,0.6,0.3,0.8313812300748986,
2025-01-06,neutral,0.27112757074494165,0.6,0.3,0.8323019946216211,
2025-01-07,neutral,0.18576078929224796,0.6,0.3,0.8524921174207506,
2025-01-08,neutral,0.14497644490828834,0.6,0.3,0.8624878723471777,
2025-01-09,neutral,0.060806586241025966,0.6,0.3,0.8838763489680219,
2025-01-10,neutral,0.053543993583765846,0.6,0.3,0.8857716741488084,
2025-01-13,neutral,0.05370481634406173,0.6,0.3,0.8857296160911978,
2025-01-14,neutral,-0.11881417369355952,0.6,0.3,0.9,
2025-01-15,neutral,-0.02882896042954425,0.6,0.3,0.9,
2025-01-16,neutral,-0.03202827649965158,0.6,0.3,0.9,
2025-01-17,neutral,-0.03675985747252201,0.6,0.3,0.9,
2025-01-20,neutral,-0.05186293636512946,0.6,0.3,0.9,
2025-01-21,neutral,-0.058284276477298454,0.6,0.3,0.9,
2025-01-22,neutral,-0.061405042924654776,0.6,0.3,0.9,
2025-01-23,neutral,-0.06551674152156643,0.6,0.3,0.9,
2025-01-24,neutral,-0.07692015118289905,0.6,0.3,0.9,
2025-01-27,neutral,-0.07151546338450163,0.6,0.3,0.9,
2025-02-05,neutral,-0.0721461012596489,0.6,0.3,0.9,
2025-02-06,neutral,-0.09847475052420923,0.6,0.3,0.9,
2025-02-07,bear,-0.16739249007046744,0.65,0.35,0.45,
2025-02-10,bear,-0.14785464631308132,0.65,0.35,0.45,
2025-02-11,bear,-0.2807065180916323,0.65,0.35,0.45,
2025-02-12,bear,-0.29257226581749135,0.65,0.35,0.45,
2025-02-13,bear,-0.2871480146042928,0.65,0.35,0.45,
2025-02-14,bear,-0.3027955565923749,0.65,0.35,0.45,0.0
2025-02-17,bear,-0.2988036737674633,0.65,0.35,0.45,0.0
2025-02-18,bear,-0.34080180937930205,0.65,0.35,0.45,0.0
2025-02-19,bear,-0.3755134364510733,0.65,0.35,0.45,0.0
2025-02-20,bear,-0.3721341885015481,0.65,0.35,0.45,0.0
2025-02-21,bear,-0.3789629985813464,0.65,0.35,0.45,0.0
2025-02-24,bear,-0.3567680512772712,0.65,0.35,0.45,0.0
2025-02-25,bear,-0.3572620743004945,0.65,0.35,0.45,0.0
2025-02-26,bear,-0.4880922327451609,0.65,0.35,0.45,0.0
2025-02-27,bear,-0.4814003741810367,0.65,0.35,0.45,0.0
2025-02-28,bear,-0.48255919314400375,0.65,0.35,0.45,0.0
2025-03-03,bear,-0.4653516283912313,0.65,0.35,0.45,0.0
2025-03-04,bear,-0.47721122580474373,0.65,0.35,0.45,0.0
2025-03-05,bear,-0.4971073391251553,0.65,0.35,0.45,0.0
2025-03-06,bear,-0.5033668215697162,0.65,0.35,0.45,0.0
2025-03-07,neutral,-0.47226730041913995,0.6,0.3,0.9,0.0
2025-03-10,neutral,-0.47463507715497366,0.6,0.3,0.9,0.0
2025-03-11,neutral,-0.4721847949344408,0.6,0.3,0.9,0.0
2025-03-12,neutral,-0.49739996213215015,0.6,0.3,0.9,0.0
2025-03-13,neutral,-0.4948387647018586,0.6,0.3,0.9,0.0
2025-03-14,neutral,-0.5006847075280625,0.6,0.3,0.9,0.0
2025-03-17,neutral,-0.40658432194226274,0.6,0.3,0.9,0.0
2025-03-18,neutral,-0.419895174365409,0.6,0.3,0.9,0.0
2025-03-19,bull,-0.5074442029937459,0.5499999999999999,0.32,0.9900000000000001,0.0
2025-03-20,bull,-0.5115697207192649,0.5499999999999999,0.32,0.9900000000000001,0.0
2025-03-21,bull,-0.49742149480633074,0.5499999999999999,0.32,0.9900000000000001,0.0
2025-03-24,bull,-0.46275274782343584,0.5499999999999999,0.32,0.9900000000000001,0.0
2025-03-25,bull,-0.4576809401981583,0.5499999999999999,0.32,0.9900000000000001,0.0
2025-03-26,neutral,-0.45988840454636765,0.6,0.3,0.9,0.0
2025-03-27,neutral,-0.45744851460135405,0.6,0.3,0.9,0.0
2025-03-28,neutral,-0.48074983612295763,0.6,0.3,0.9,0.0
2025-03-31,neutral,-0.4768618505327581,0.6,0.3,0.9,0.0
2025-04-01,neutral,-0.46841575950460496,0.6,0.3,0.9,0.0
2025-04-02,neutral,-0.46768767102579967,0.6,0.3,0.9,0.0
2025-04-03,neutral,-0.47055662970669687,0.6,0.3,0.9,0.0
2025-04-07,neutral,-0.5042250798352486,0.6,0.3,0.9,0.0
2025-04-08,bull,0.060568157899829965,0.5499999999999999,0.32,0.9723322873466655,0.0
2025-04-09,neutral,0.08253781812575701,0.6,0.3,0.8782532674625474,0.0
2025-04-10,neutral,0.0935267697630935,0.6,0.3,0.8754369626263043,0.0
2025-04-11,neutral,0.10664586696868875,0.6,0.3,0.8720982963317357,0.0
2025-04-14,neutral,0.10699484206690035,0.6,0.3,0.8720098336697174,0.0
2025-04-15,neutral,0.10557027295835629,0.6,0.3,0.8723710645774754,0.0
2025-04-16,neutral,0.08526662119367055,0.6,0.3,0.8775522260296404,0.0
2025-04-17,neutral,0.08386433393119011,0.6,0.3,0.8779123399090661,0.0
2025-04-18,neutral,-0.0012023583343547515,0.6,0.3,0.9,0.0
2025-04-21,neutral,-0.007320151863476262,0.6,0.3,0.9,0.0
2025-04-22,neutral,-0.007383028863898231,0.6,0.3,0.9,0.0
2025-04-23,neutral,-0.009816660639797874,0.6,0.3,0.9,0.0
2025-04-24,neutral,-0.013633682209345889,0.6,0.3,0.9,0.0
2025-04-25,neutral,-0.014909670765068241,0.6,0.3,0.9,0.0
2025-04-28,neutral,-0.026788157730304695,0.6,0.3,0.9,0.0
2025-04-29,neutral,-0.028166136293243407,0.6,0.3,0.9,0.0
2025-04-30,neutral,-0.036399299774147575,0.6,0.3,0.9,0.0
2025-05-06,neutral,-0.03916445280489871,0.6,0.3,0.9,0.0
2025-05-07,neutral,-0.03144032771817088,0.6,0.3,0.9,0.0
2025-05-08,neutral,-0.047427390480169834,0.6,0.3,0.9,0.0
2025-05-09,bear,-0.06567433350488242,0.65,0.35,0.45,0.0
2025-05-12,bear,-0.06699862895514343,0.65,0.35,0.45,0.0
2025-05-13,bear,-0.05367441667260145,0.65,0.35,0.45,0.0
2025-05-14,bear,-0.06575922542914461,0.65,0.35,0.45,0.0
2025-05-15,bear,-0.0508190055313067,0.65,0.35,0.45,0.0
2025-05-16,bear,-0.050595524094736395,0.65,0.35,0.45,0.0
2025-05-19,bear,-0.04989631708782534,0.65,0.35,0.45,0.0
2025-05-20,bear,-0.0596390325110564,0.65,0.35,0.45,0.0
2025-05-21,bear,-0.06343934611495072,0.65,0.35,0.45,0.0
2025-05-22,bear,-0.06297610444538053,0.65,0.35,0.45,0.0
2025-05-23,bear,-0.08499815419450224,0.65,0.35,0.45,0.0
2025-05-26,bear,-0.07919018753637962,0.65,0.35,0.45,0.0
2025-05-27,bear,-0.09195756836184717,0.65,0.35,0.45,0.0
2025-05-28,bear,-0.10087674948088077,0.65,0.35,0.45,0.0
2025-05-29,bear,-0.10328978071762668,0.65,0.35,0.45,0.0
2025-05-30,neutral,-0.14964398701380202,0.6,0.3,0.9,0.0
