date,equity,cash,portfolio_value
2024-12-04,1000000.0,1000000.0,
2024-12-05,999718.926513268,437571.9530486668,
2024-12-06,1006428.6753946445,437482.18086764315,
2024-12-09,1002561.6371083775,432464.87274131156,
2024-12-10,1005875.6127246066,430818.8330709092,
2024-12-11,1005719.2295008723,426649.9646489954,
2024-12-12,1009512.135916274,423540.1654730104,
2024-12-13,994850.7946822566,414605.141851489,
2024-12-16,986236.0253817014,413297.8631411791,
2024-12-17,983794.6553592713,409495.64430090366,
2024-12-18,987008.7317603319,407515.37506727997,
2024-12-19,990859.9529302006,406283.9490315732,
2024-12-20,992513.0284270197,404126.2146023608,
2024-12-23,984941.0709902864,398801.26745720766,
2024-12-24,991953.7313151358,398991.47648976604,
2024-12-25,989170.3839158013,383897.2309184056,
2024-12-26,994897.4407602367,382652.7577613842,
2024-12-27,991407.1777493898,366063.370149109,
2024-12-30,991908.7929889327,347840.6581887664,
2024-12-31,973933.3208712875,260576.79497242553,
2025-01-02,947773.5318762929,201463.12121127642,
2025-01-03,932854.395094581,114112.44709757174,
2025-01-06,931666.1597740412,113058.8677498003,
2025-01-07,943225.8979835098,94394.99658790547,
2025-01-08,944448.2991453517,84514.0234776781,
2025-01-09,945625.3203880123,63308.921798729396,
2025-01-10,934570.5917995248,60662.14354732068,
2025-01-13,929297.1381950486,60388.92573993195,
2025-01-14,958759.331249424,47833.75953376913,
2025-01-15,952790.0474751364,47503.457755101204,
2025-01-16,955829.8287755859,47677.003574282586,
2025-01-17,960343.9291070903,47917.25849425714,
2025-01-20,963479.5038061314,48072.856783711584,
2025-01-21,967544.8503919909,48290.481402062476,
2025-01-22,961657.2111013664,48011.84241050693,
2025-01-23,960343.8687436216,47915.960848041825,
2025-01-24,972399.190560806,48517.95486637052,
2025-01-27,962265.1443320173,48023.43511391431,
2025-02-05,963576.1832354689,48076.292895132836,
2025-02-06,977634.9540046996,48733.08970100031,
2025-02-07,987349.8035959592,518236.365792194,
2025-02-10,989779.2378653712,519604.55803027685,
2025-02-11,988496.7500790982,518935.60212989006,
2025-02-12,993853.890832379,521745.539077703,
2025-02-13,986309.4076605008,517789.3866037374,
2025-02-14,991907.4434609656,520738.9610304888,471168.48243047687
2025-02-17,993707.3829946623,521668.57308875374,472038.80990590854
2025-02-18,987806.1975811943,518570.30437762884,469235.8932035655
2025-02-19,994320.1991913037,521990.4339917006,472329.76519960316
2025-02-20,994645.9985730478,522161.6486330086,472484.3499400392
2025-02-21,1006524.1892828397,528402.1374438708,478122.05183896894
2025-02-24,1004456.1498709596,527319.8991084305,477136.2507625291
2025-02-25,998988.9475722546,524454.6760278802,474534.27154437435
2025-02-26,1002663.5045939543,526379.5743723385,476283.9302216158
2025-02-27,998890.5890004744,524395.8498731495,474494.7391273249
