date,equity,cash,portfolio_value
2022-12-05,1000000.0,1000000.0,
2022-12-06,999894.4034617565,788701.3269748751,
2022-12-07,998927.4493085626,787955.8255396005,
2022-12-08,998464.5253877885,786373.275600796,
2022-12-09,999358.0883077295,786757.9129844661,
2022-12-12,997656.9926450374,786043.0162141052,
2022-12-13,997079.2109793852,784361.8498032704,
2022-12-14,997152.6232506998,783865.6140691213,
2022-12-15,996750.4925064472,782023.6967910262,
2022-12-16,996672.0247195191,780674.2363110682,
2022-12-19,992369.3440585282,770234.7289640104,
2022-12-20,990070.1245032529,771129.8917842923,
2022-12-21,989481.04784302,773553.0503735609,
2022-12-22,988522.0412916096,771867.1835691052,
2022-12-23,987802.8809599682,770083.5620837263,
2022-12-26,990105.1683791403,771449.3821443081,
2022-12-27,992569.5838865651,772907.5614211663,
2022-12-28,991082.4910658724,417228.53950370353,
2022-12-29,990926.0496538838,407737.10802825046,
2022-12-30,993431.6108120489,408404.7249426991,
2023-01-03,1000525.0728190031,409498.52196186787,
2023-01-04,1001894.7255577786,390117.21708192804,
2023-01-05,1010844.9391299777,392555.2038540395,
2023-01-06,1009512.4266859177,396617.1817962017,
2023-01-09,1014641.8807938513,394259.7778141463,
2023-01-10,1015834.9011174834,373132.38390512834,
2023-01-11,1012886.0912000693,370910.03148173384,
2023-01-12,1013867.402529034,370040.1900914544,
2023-01-13,1022294.5120354942,358126.68700629985,
2023-01-16,1031282.2176843298,365732.75182189594,
2023-01-17,1030476.8269251692,372570.26682326617,
2023-01-18,1030591.3811428222,360658.0951031591,
2023-01-19,1036833.325477527,362864.370313613,
2023-01-20,1039603.7644215759,363810.19428893604,
2023-01-30,1038696.4762177531,363504.70360317186,
2023-01-31,1030040.5920755891,360459.30825676146,
2023-02-01,1040864.3382430153,364257.3994306981,
2023-02-02,1040600.1022801322,364161.6571862349,
2023-02-03,1036250.1081213308,362646.65753465757,
2023-02-06,1027826.451500425,359704.97921333474,
2023-02-07,1031776.5224676807,361077.27355019475,
2023-02-08,1026489.0405930734,359244.6377800795,
2023-02-09,1038900.1461279616,363580.1778441476,
2023-02-10,1037439.975647402,363056.0601853441,
2023-02-13,1047061.4154009342,366436.1775866284,
2023-02-14,1048266.0436442543,366855.22224933736,
2023-02-15,1049952.0983615562,367444.5366227833,
2023-02-16,1040568.671707982,364164.0931056664,
2023-02-17,1029845.0343712803,360404.1236343861,
2023-02-20,1052013.1391716711,368158.09325199714,
2023-02-21,1053961.4056596514,51973.85505387327,
2023-02-22,1042397.2027610214,51985.75501266305,
2023-02-23,1025721.3308679536,51154.583608595975,
2023-02-24,1034776.8908812228,51668.654532912566,
2023-02-27,1020685.1875799603,50902.34462538501,
2023-02-28,1034334.3393734586,51583.99244772381,
2023-03-01,1075566.7837085398,53638.09536731156,
2023-03-02,1079187.886628556,53757.473628241394,
2023-03-03,1066412.8312002956,53242.95904388318,
2023-03-06,1059480.0537803234,52835.89920088847,
2023-03-07,1029456.0323045906,51405.451409996225,
2023-03-08,1041928.986015699,51902.06601789445,
2023-03-09,1054434.9855402405,52520.77063856518,
2023-03-10,1036790.5831953095,51706.162792856194,
2023-03-13,1091325.1536259898,54488.932005076815,
2023-03-14,1085970.6674724068,54223.035955433996,
2023-03-15,1078455.1356804601,53785.361474604084,
2023-03-16,1084019.3192331705,54062.744794044615,
2023-03-17,1157722.6231014866,57793.61429443507,
2023-03-20,1148049.426643507,57173.76989792945,
2023-03-21,1149076.221643391,401636.4588467892,
2023-03-22,1157324.0120380006,405003.12185866165,
2023-03-23,1174256.3670360602,410933.05571062583,
2023-03-24,1172722.2223180984,410415.9480449342,
2023-03-27,1171567.3496370602,410002.4529297606,
2023-03-28,1165608.503978083,407902.7785032819,
2023-03-29,1169940.8727799347,409427.4492171443,
2023-03-30,1172267.7382297025,410238.9149357108,
2023-03-31,1184216.7521087802,414423.6434163052,
2023-04-03,1202075.1603700644,420685.5225407812,
2023-04-04,1210049.7313708477,423447.9633850887,
2023-04-06,1214779.8539127826,425126.1733393787,
2023-04-07,1216476.0055309623,425729.6090025244,
2023-04-10,1203052.0722509485,421029.4974716164,
2023-04-11,1204901.3281985037,421663.3080316777,
2023-04-12,1215537.5486884746,425393.3132159356,
2023-04-13,1201106.2351200362,420357.24498851167,
2023-04-14,1211353.5519411461,423924.87233985204,
