date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp,long_candidate_count
2022-12-05,bear,0.5396387914615907,0.0,-0.2,0.21516636486957902,,293
2022-12-06,bear,0.6125030889373404,0.0,-0.2,0.21119307648688154,,293
2022-12-07,bear,0.612414075359483,0.0,-0.2,0.21119784086974988,,293
2022-12-08,bear,0.5897651325186027,0.0,-0.2,0.21241713420832212,,293
2022-12-09,bear,0.5838769965183124,0.0,-0.2,0.21273642800918827,,293
2022-12-12,bear,0.5954359228237142,0.0,-0.2,0.2121105310594046,,293
2022-12-13,bear,0.572791574285321,0.0,-0.2,0.2133401652640366,,293
2022-12-14,bear,0.5626448560176629,0.0,-0.2,0.2138957901795011,,293
2022-12-15,bear,0.5349628779623635,0.0,-0.2,0.21542645335689173,,293
2022-12-16,bear,0.5118967755398943,0.0,-0.2,0.21671871636767298,,293
2022-12-19,bear,0.3895390010442348,0.0,-0.2,0.22384150153047336,,293
2022-12-20,bear,0.4350899478207422,0.0,-0.2,0.22113580963710794,,293
2022-12-21,bear,0.4853879725752033,0.0,-0.2,0.21822313454609896,,293
2022-12-22,bear,0.46888853495155963,0.0,-0.2,0.21917009638083892,,293
2022-12-23,bear,0.4475453257952319,0.0,-0.2,0.22040732021942328,,293
2022-12-26,bear,0.4401283477034059,0.0,-0.2,0.2208405447764821,,293
2022-12-27,bear,0.43218966333417036,0.0,-0.2,0.22130613305796704,,293
2022-12-28,neutral,0.409779915946481,0.57,0.32,0.5788407997229417,,126
2022-12-29,neutral,0.3484012105159486,0.57,0.32,0.5884907346963151,,126
2022-12-30,neutral,0.34597139315513503,0.57,0.32,0.5888793747003759,,126
2023-01-03,neutral,0.3346897880108982,0.57,0.32,0.5906905695492568,,126
2023-01-04,neutral,0.21522427402653738,0.57,0.32,0.6105767205731424,,126
2023-01-05,neutral,0.20920069131815222,0.57,0.32,0.6116149207289049,,126
2023-01-06,neutral,0.23558168322798143,0.57,0.32,0.6070939365640238,,126
2023-01-09,neutral,0.2104788582032445,0.57,0.32,0.6113943260992089,,126
2023-01-10,neutral,0.09143244163872842,0.57,0.32,0.6326466710513485,,126
2023-01-11,neutral,0.08530473399981646,0.57,0.32,0.6337806529946192,,126
2023-01-12,neutral,0.0788257718615731,0.57,0.32,0.6349840672341404,,126
2023-01-13,neutral,0.0018152831356290531,0.57,0.32,0.6496462124559211,,126
2023-01-16,neutral,0.02413571076623804,0.57,0.32,0.645327369577502,,126
