date,action,code,shares,price
2024-12-05,BUY,000002,554.4511909344313,8.52
2024-12-05,BUY,601800,448.76920378869835,10.5264
2024-12-05,BUY,601788,236.40684583770914,19.98218
2024-12-05,BUY,601698,209.3383113324285,22.56598
2024-12-05,BUY,601689,87.82036444105557,53.79076
2024-12-05,BUY,601688,265.04875184167264,17.82285
2024-12-05,BUY,601628,114.01100853241185,41.43393
2024-12-05,BUY,601377,739.8272351569159,6.385172
2024-12-05,BUY,601360,362.1949602231901,13.04249
2024-12-05,BUY,601336,101.4514653413627,46.56339
2024-12-05,BUY,601238,483.32191820917507,9.773867
2024-12-05,BUY,601236,559.0783517292895,8.449485
2024-12-05,BUY,601229,585.5661993913875,8.067276
2024-12-05,BUY,601865,192.4025100198904,24.5523
2024-12-05,BUY,601211,252.61977689322714,18.69974
2024-12-05,BUY,601136,194.06467036868997,24.34201
2024-12-05,BUY,601127,34.1493512080155,138.3313
2024-12-05,BUY,601066,173.6150867744399,27.20918
2024-12-05,BUY,601012,263.3179568986262,17.94
2024-12-05,BUY,600999,248.72458926146223,18.99259
2024-12-05,BUY,600958,450.2204101380661,10.49247
2024-12-05,BUY,600918,675.0633877781777,6.997749
2024-12-05,BUY,600887,170.69326450911908,27.67493
2024-12-05,BUY,600600,67.77553293760654,69.69955
2024-12-05,BUY,600588,366.7642971088008,12.88
2024-12-05,BUY,600584,120.70867007678449,39.13492
2024-12-05,BUY,600570,152.84461357295405,30.90671
2024-12-05,BUY,601186,515.0992974257003,9.1709
2024-12-05,BUY,600515,1195.9301637370518,3.95
2024-12-05,BUY,601878,371.69268820284447,12.70922
2024-12-05,BUY,601901,536.147176665528,8.810872
2024-12-05,BUY,688981,54.297978698406375,87.0
2024-12-05,BUY,688599,195.28417307818745,24.19
2024-12-05,BUY,688506,21.214910615535793,222.67
2024-12-05,BUY,688472,320.39941689363263,14.74386
2024-12-05,BUY,688396,96.0952470283808,49.15877
2024-12-05,BUY,688303,174.57221532747062,27.06
2024-12-05,BUY,688271,33.864299378126745,139.4957
2024-12-05,BUY,688256,8.285841834633683,570.12
2024-12-05,BUY,688223,537.4202669808141,8.79
2024-12-05,BUY,688126,221.98891667111627,21.28
2024-12-05,BUY,688111,15.694840576403786,300.9858
2024-12-05,BUY,688082,42.88083354599828,110.164
2024-12-05,BUY,601888,68.76858935163536,68.69305
2024-12-05,BUY,688047,29.788902426291806,158.58
2024-12-05,BUY,688036,53.66322295724726,88.02908
2024-12-05,BUY,688012,22.270002884027498,212.1205
2024-12-05,BUY,688009,757.4602205555227,6.236531
2024-12-05,BUY,688008,69.61228029208972,67.8605
2024-12-05,BUY,603986,55.67979767731548,84.8409
2024-12-05,BUY,603833,68.34154578445468,69.12229
2024-12-05,BUY,603799,150.44785219061689,31.39908
2024-12-05,BUY,603369,102.12150117474806,46.25788
2024-12-05,BUY,603296,75.70404606100034,62.39989
2024-12-05,BUY,603288,105.0197336840277,44.9813
2024-12-05,BUY,603259,94.18691791213827,50.15478
2024-12-05,BUY,603019,62.46785507491178,75.62168
2024-12-05,BUY,688041,36.94407346046049,127.8669
2024-12-05,BUY,600460,168.02465587156203,28.11447
2024-12-05,BUY,601881,307.1328355734552,15.38072
2024-12-05,BUY,600415,345.17781961329484,13.68548
2024-12-05,BUY,002920,40.80308521504758,115.7737
2024-12-05,BUY,002736,422.68431638494906,11.17601
2024-12-05,BUY,002709,210.65117169957534,22.42534
2024-12-05,BUY,002600,542.5296744334821,8.707218
2024-12-05,BUY,002466,127.26088757438995,37.12
2024-12-05,BUY,002460,119.00884863542863,39.69389
2024-12-05,BUY,002459,287.1686411405079,16.45
2024-12-05,BUY,002371,16.021926877116748,294.8412
2024-12-05,BUY,002241,191.11990809433945,24.71707
2024-12-05,BUY,002230,92.2801303030692,51.19113
2024-12-05,BUY,002129,461.32071745716354,10.24
2024-12-05,BUY,002049,72.71178759137959,64.96779
2024-12-05,BUY,300014,100.52938694734242,46.99048
2024-12-05,BUY,001979,425.3258555058573,11.1066
2024-12-05,BUY,000963,128.5897756083642,36.73639
2024-12-05,BUY,000938,190.80903468471794,24.75734
2024-12-05,BUY,000858,34.08860688192016,138.5778
2024-12-05,BUY,000776,289.56312576039767,16.31397
2024-12-05,BUY,000661,45.56719867927619,103.6694
2024-12-05,BUY,000617,644.1750175209629,7.333293
2024-12-05,BUY,000568,36.3675595756333,129.8939
2024-12-05,BUY,000425,601.140702747992,7.858267
2024-12-05,BUY,000301,504.1541245209557,9.37
2024-12-05,BUY,000166,881.3656361814527,5.359778
2024-12-05,BUY,000063,156.54257210340575,30.17661
2024-12-05,BUY,600438,173.86544522493023,27.17
2024-12-05,BUY,000977,102.42644749630865,46.12016
2024-12-05,BUY,300015,331.85323384798255,14.23498
2024-12-05,BUY,002050,193.04677768375106,24.47036
2024-12-05,BUY,301269,36.866573068718196,128.1357
2024-12-05,BUY,600160,214.64811260943205,22.00776
2024-12-05,BUY,300033,13.856937282451845,340.9068
2024-12-05,BUY,600111,204.93012121010293,23.05139
2024-12-05,BUY,600104,259.7523705677448,18.18626
2024-12-05,BUY,600061,608.2339965209273,7.766623
2024-12-05,BUY,600048,480.2604251696041,9.836172
2024-12-05,BUY,600039,650.160725609925,7.265779
2024-12-05,BUY,600030,155.448898702598,30.38892
2024-12-05,BUY,600010,2397.9310389651546,1.97
2024-12-05,BUY,301236,78.02204251842409,60.54602
2024-12-05,BUY,300999,137.0187883725148,34.47647
2024-12-05,BUY,300896,23.565949284311753,200.4555
2024-12-05,BUY,300759,174.20121694858125,27.11763
2024-12-05,BUY,300750,18.980844656173012,248.8785
2024-12-05,BUY,300782,47.84790509879429,98.72792
2024-12-05,BUY,300661,67.8407168994938,69.63258
2024-12-05,BUY,300059,172.41020662772976,27.39933
2024-12-05,BUY,300122,163.95870655055242,28.81167
2024-12-05,BUY,300124,76.68698071108601,61.60008
2024-12-05,BUY,300308,36.0115030299345,131.1782
2024-12-05,BUY,300316,138.11771381577523,34.20216
2024-12-05,BUY,300394,61.73638254747374,76.51767
2024-12-05,BUY,300347,75.1813061443618,62.83376
